index,true_label,predicted_label,predicted_proba,top_features
104,0,0,0.10757674276828766,"[('PC9', 0.18384935851429954), ('PC8', 0.18377825876360668), ('PC2', 0.09936349661096348)]"
51,0,0,0.04795842990279198,"[('PC8', 0.18643229251239196), ('PC9', 0.18364841950778973), ('PC2', 0.13771316217839374)]"
106,0,0,0.00046815714449621737,"[('PC8', 0.1873091611370243), ('PC9', 0.18279358950143965), ('PC2', 0.11229935271373866)]"
48,0,0,0.009765599854290485,"[('PC8', 0.1950308309044364), ('PC9', 0.19348136329810464), ('PC2', 0.11958068990289823)]"
6,0,0,0.10808268189430237,"[('PC9', 0.1889133233878492), ('PC8', 0.1825268503140433), ('PC2', 0.11329870694427485)]"
22,0,0,0.0002907809102907777,"[('PC8', 0.1959526054002097), ('PC9', 0.1792054260989809), ('PC2', 0.12202736800456718)]"
89,0,0,0.0004677375836763531,"[('PC8', 0.18918414168768802), ('PC9', 0.1746458208117729), ('PC2', 0.11265196931517094)]"
95,0,0,0.0005398080684244633,"[('PC8', 0.1883245520416763), ('PC9', 0.16735708633059393), ('PC2', 0.12367067585154957)]"
25,0,0,0.0708579570055008,"[('PC8', 0.20460873194546292), ('PC9', 0.17177003394943058), ('PC2', 0.11636923145683581)]"
2,0,0,0.0010279263369739056,"[('PC8', 0.18983228665563381), ('PC9', 0.1657160807766409), ('PC2', 0.1275096835638693)]"
103,0,1,0.9757333397865295,"[('PC8', -0.1969274148617858), ('PC9', -0.17067629954529737), ('PC2', -0.11279359720429441)]"
39,0,0,0.010509907267987728,"[('PC9', 0.19785573428040962), ('PC8', 0.1895293889562508), ('PC2', 0.12164113171970321)]"
71,0,0,0.004361731931567192,"[('PC8', 0.20797430656997246), ('PC9', 0.1829485632364237), ('PC2', 0.12184818014041494)]"
74,0,0,0.10836722701787949,"[('PC8', 0.1984391049004129), ('PC9', 0.19005070127710347), ('PC2', 0.1210481151158676)]"
26,0,0,0.0298018679022789,"[('PC8', 0.19382093100418596), ('PC9', 0.1931366535750759), ('PC2', 0.12251789514548672)]"
45,0,1,0.8896957039833069,"[('PC8', -0.20370293246875285), ('PC9', -0.18118504416634795), ('PC2', -0.12386620634669618)]"
78,0,0,0.0006250404403544962,"[('PC8', 0.18689272046951483), ('PC9', 0.17193407275990596), ('PC2', 0.10398658798001403)]"
52,0,1,0.9982461929321289,"[('PC8', -0.11905359247864969), ('PC9', -0.10626961049615176), ('PC2', -0.08401174780857712)]"
21,0,0,0.2904508113861084,"[('PC9', 0.20725029208618836), ('PC8', 0.19485054140710956), ('PC2', 0.09609031329041204)]"
42,0,0,0.00666037667542696,"[('PC8', 0.20492571893948475), ('PC9', 0.1785609684623059), ('PC2', 0.10807583646969031)]"
67,0,1,0.8747112154960632,"[('PC8', -0.19787866406257879), ('PC9', -0.19203454607121218), ('PC2', -0.1133135063347936)]"
36,0,1,0.8722081184387207,"[('PC8', -0.19233213928674625), ('PC9', -0.1601662412609613), ('PC2', -0.11844419188999875)]"
61,0,0,0.07765137404203415,"[('PC9', 0.1892549839833298), ('PC8', 0.18911571164113156), ('PC2', 0.11244243679835028)]"
72,0,0,0.013067820109426975,"[('PC8', 0.20446918888311527), ('PC9', 0.1866370131261762), ('PC2', 0.12735962025612504)]"
47,0,0,0.003893311368301511,"[('PC9', 0.19567523345093746), ('PC8', 0.1914787707655962), ('PC2', 0.11855345917608541)]"
